# timestamp, confidence, diameter,time from start,diam conf 75,ticks
1429308539.26,1.00,88.56,6.53,88.56,
1429308539.29,1.00,88.12,6.56,88.12,
1429308539.32,1.00,87.80,6.60,87.80,
1429308539.36,1.00,87.63,6.63,87.63,
1429308539.39,1.00,87.77,6.66,87.77,
1429308539.43,1.00,88.24,6.70,88.24,
1429308539.46,1.00,88.73,6.73,88.73,
1429308539.49,1.00,89.37,6.77,89.37,
1429308539.53,1.00,89.94,6.80,89.94,
1429308539.56,1.00,90.62,6.83,90.62,
1429308539.59,1.00,91.16,6.87,91.16,
1429308539.62,1.00,91.77,6.89,91.77,
1429308539.65,1.00,92.21,6.93,92.21,
1429308539.69,1.00,92.70,6.96,92.70,
1429308539.72,1.00,93.22,6.99,93.22,
1429308539.76,1.00,93.76,7.03,93.76,
1429308539.79,1.00,94.26,7.06,94.26,
1429308539.82,1.00,94.81,7.10,94.81,
1429308539.85,1.00,95.25,7.13,95.25,
1429308539.89,1.00,95.72,7.16,95.72,
1429308539.93,1.00,95.98,7.20,95.98,
1429308539.95,1.00,96.27,7.22,96.27,
1429308539.98,1.00,96.74,7.25,96.74,
1429308540.02,1.00,96.88,7.29,96.88,
1429308540.05,1.00,97.26,7.32,97.26,
1429308540.08,1.00,97.32,7.35,97.32,
1429308540.12,1.00,97.29,7.39,97.29,
1429308540.15,1.00,97.05,7.42,97.05,
1429308540.19,1.00,96.50,7.46,96.50,
1429308540.22,1.00,96.18,7.49,96.18,
1429308540.25,1.00,95.92,7.53,95.92,
1429308540.28,1.00,95.49,7.56,95.49,
1429308540.32,1.00,95.24,7.60,95.24,
1429308540.34,1.00,95.15,7.62,95.15,
1429308540.38,1.00,95.16,7.65,95.16,
1429308540.41,1.00,95.13,7.68,95.13,
1429308540.44,1.00,95.14,7.72,95.14,
1429308540.48,1.00,95.31,7.75,95.31,
1429308540.52,1.00,95.62,7.79,95.62,
1429308540.55,0.90,95.32,7.82,95.32,
1429308540.58,1.00,95.65,7.86,95.65,
1429308540.61,0.91,95.77,7.89,95.77,
1429308540.64,1.00,95.56,7.91,95.56,
1429308540.67,0.82,95.86,7.95,95.86,
1429308540.70,0.82,95.80,7.98,95.80,
1429308540.74,0.86,95.04,8.01,95.04,
1429308540.78,0.86,94.31,8.05,94.31,
1429308540.81,0.92,94.34,8.08,94.34,
1429308540.87,0.94,94.85,8.15,94.85,
1429308540.91,0.92,95.53,8.18,95.53,
1429308540.94,0.86,96.14,8.21,96.14,
1429308540.98,0.87,96.84,8.25,96.84,
1429308541.01,0.89,97.25,8.28,97.25,
1429308541.05,0.83,96.79,8.32,96.79,
1429308541.07,0.81,96.76,8.34,96.76,
1429308541.10,0.75,96.81,8.37,,
1429308541.14,0.75,98.13,8.41,,
1429308541.17,0.75,96.62,8.45,96.62,
1429308541.21,0.75,96.37,8.48,96.37,
1429308541.24,0.75,97.09,8.51,97.09,
1429308541.27,0.75,96.96,8.55,,
1429308541.31,0.67,98.37,8.58,,
1429308541.34,0.70,97.37,8.62,,
1429308541.38,0.68,97.86,8.65,,
1429308541.40,0.72,97.79,8.67,,
1429308541.43,0.72,96.99,8.70,,
1429308541.47,0.75,96.52,8.74,,
1429308541.50,0.71,97.75,8.77,,
1429308541.54,0.79,96.63,8.81,96.63,
1429308541.57,0.69,100.60,8.84,,
1429308541.60,0.69,99.71,8.87,,
1429308541.64,0.74,98.21,8.91,,
1429308541.67,0.75,98.95,8.94,98.95,
1429308541.70,0.72,97.83,8.98,,
1429308541.74,0.73,98.68,9.01,,
1429308541.77,0.77,98.56,9.05,98.56,
1429308541.80,0.73,98.39,9.08,,
1429308541.84,0.76,99.07,9.11,99.07,
1429308541.87,0.69,94.46,9.14,,
1429308541.90,0.75,99.12,9.17,99.12,
1429308541.94,0.73,99.06,9.21,,
1429308541.96,0.78,99.32,9.23,99.32,
1429308542.00,0.75,98.25,9.27,,
1429308542.03,0.71,100.10,9.31,,
1429308542.06,0.74,100.00,9.34,,
1429308542.10,0.69,100.09,9.37,,
1429308542.13,0.72,100.02,9.41,,
1429308542.16,0.76,96.85,9.43,96.85,
1429308542.20,0.71,98.30,9.47,,
1429308542.24,0.79,97.91,9.51,97.91,
1429308542.27,0.73,98.72,9.54,,
1429308542.29,0.90,98.16,9.56,98.16,
1429308542.32,0.97,98.95,9.60,98.95,
1429308542.36,1.00,98.79,9.63,98.79,
1429308542.39,1.00,99.00,9.67,99.00,
1429308542.42,1.00,98.88,9.70,98.88,
1429308542.46,1.00,99.12,9.73,99.12,
1429308542.49,1.00,99.25,9.76,99.25,
1429308542.53,1.00,99.22,9.80,99.22,
1429308542.56,1.00,99.33,9.83,99.33,
1429308542.59,1.00,99.07,9.87,99.07,
1429308542.63,1.00,99.00,9.90,99.00,
1429308542.66,1.00,98.86,9.94,98.86,
1429308542.70,1.00,98.83,9.97,98.83,
1429308542.72,1.00,98.77,9.99,98.77,
1429308542.76,1.00,98.56,10.03,98.56,
1429308542.79,1.00,98.87,10.06,98.87,
1429308542.82,1.00,99.09,10.10,99.09,
1429308542.85,1.00,99.36,10.13,99.36,
1429308542.89,1.00,99.63,10.16,99.63,
1429308542.92,1.00,99.69,10.19,99.69,
1429308542.96,1.00,99.59,10.23,99.59,
1429308542.99,1.00,99.82,10.27,99.82,
1429308543.02,1.00,99.63,10.29,99.63,
1429308543.05,1.00,99.96,10.32,99.96,
1429308543.08,1.00,99.93,10.36,99.93,
1429308543.12,1.00,100.09,10.39,100.09,
1429308543.15,1.00,100.17,10.42,100.17,
1429308543.18,1.00,99.97,10.46,99.97,
1429308543.22,1.00,99.83,10.49,99.83,
1429308543.25,1.00,99.54,10.53,99.54,
1429308543.29,1.00,99.74,10.56,99.74,
1429308543.32,1.00,99.79,10.59,99.79,
1429308543.35,1.00,99.95,10.63,99.95,
1429308543.39,1.00,100.18,10.66,100.18,
1429308543.42,1.00,100.10,10.69,100.10,
1429308543.45,1.00,100.01,10.73,100.01,
1429308543.48,1.00,99.97,10.75,99.97,
1429308543.51,1.00,99.89,10.79,99.89,
1429308543.55,1.00,99.81,10.82,99.81,
1429308543.58,1.00,99.67,10.85,99.67,
1429308543.61,1.00,99.57,10.89,99.57,
1429308543.65,1.00,99.37,10.92,99.37,
1429308543.68,1.00,99.34,10.96,99.34,
1429308543.72,1.00,99.36,10.99,99.36,
1429308543.75,1.00,99.39,11.03,99.39,
1429308543.78,1.00,99.28,11.05,99.28,
1429308543.81,1.00,99.20,11.08,99.20,
1429308543.84,1.00,99.44,11.12,99.44,
1429308543.88,1.00,99.49,11.15,99.49,
1429308543.91,1.00,99.71,11.19,99.71,
1429308543.94,1.00,99.69,11.22,99.69,
1429308543.98,1.00,99.76,11.25,99.76,
1429308544.01,1.00,99.76,11.29,99.76,
1429308544.04,1.00,99.79,11.32,99.79,
1429308544.07,1.00,99.82,11.35,99.82,
1429308544.11,1.00,99.96,11.38,99.96,
1429308544.17,1.00,100.09,11.44,100.09,
1429308544.20,1.00,100.17,11.48,100.17,
1429308544.24,1.00,100.34,11.51,100.34,
1429308544.28,1.00,100.58,11.55,100.58,
1429308544.31,1.00,100.79,11.58,100.79,
1429308544.34,1.00,100.93,11.61,100.93,
1429308544.38,1.00,101.35,11.65,101.35,
1429308544.41,1.00,101.59,11.68,101.59,
1429308544.44,1.00,101.63,11.72,101.63,
1429308544.48,1.00,101.63,11.75,101.63,
1429308544.51,1.00,101.62,11.78,101.62,
1429308544.54,1.00,101.58,11.82,101.58,
1429308544.58,1.00,101.29,11.85,101.29,
1429308544.61,1.00,100.93,11.88,100.93,
1429308544.63,1.00,100.56,11.91,100.56,
1429308544.67,1.00,100.15,11.94,100.15,
1429308544.71,1.00,99.52,11.98,99.52,
1429308544.74,1.00,99.09,12.01,99.09,
1429308544.77,1.00,98.70,12.05,98.70,
1429308544.80,1.00,98.56,12.08,98.56,
1429308544.83,1.00,98.40,12.10,98.40,
1429308544.87,1.00,98.19,12.14,98.19,
1429308544.90,1.00,98.15,12.17,98.15,
1429308544.93,1.00,98.18,12.20,98.18,
1429308544.97,1.00,98.23,12.24,98.23,
1429308545.00,1.00,98.30,12.28,98.30,
1429308545.03,1.00,98.32,12.31,98.32,
1429308545.07,1.00,98.37,12.34,98.37,
1429308545.11,1.00,98.73,12.38,98.73,
1429308545.14,1.00,98.97,12.41,98.97,
1429308545.17,1.00,99.07,12.45,99.07,
1429308545.19,0.91,98.66,12.47,98.66,
1429308545.23,0.00,0.00,12.50,,
1429308545.26,0.00,0.00,12.53,,
1429308545.30,0.67,104.51,12.57,,
1429308545.33,0.90,99.18,12.60,99.18,
1429308545.36,1.00,98.84,12.64,98.84,
1429308545.40,1.00,98.93,12.67,98.93,
1429308545.43,1.00,99.00,12.71,99.00,
1429308545.46,1.00,99.08,12.74,99.08,
1429308545.50,1.00,99.13,12.77,99.13,
1429308545.53,1.00,99.26,12.81,99.26,
1429308545.57,1.00,99.37,12.84,99.37,
1429308545.60,1.00,99.08,12.87,99.08,
1429308545.62,1.00,98.63,12.90,98.63,
1429308545.66,1.00,97.84,12.93,97.84,
1429308545.69,0.86,96.99,12.97,96.99,
1429308545.73,0.93,96.01,13.00,96.01,
1429308545.76,0.98,95.51,13.03,95.51,
1429308545.80,0.96,95.03,13.07,95.03,
1429308545.83,1.00,94.32,13.10,94.32,
1429308545.86,0.95,93.94,13.14,93.94,
1429308545.90,1.00,93.32,13.17,93.32,
1429308545.92,1.00,92.95,13.19,92.95,
1429308545.95,1.00,93.13,13.23,93.13,
1429308545.99,1.00,93.09,13.26,93.09,
1429308546.03,1.00,93.28,13.30,93.28,
1429308546.06,1.00,93.67,13.33,93.67,
1429308546.09,1.00,94.04,13.37,94.04,
1429308546.12,1.00,94.35,13.40,94.35,
1429308546.16,1.00,94.60,13.43,94.60,
1429308546.20,1.00,95.02,13.47,95.02,
1429308546.23,1.00,95.50,13.50,95.50,
1429308546.25,1.00,96.00,13.53,96.00,
1429308546.29,1.00,96.19,13.56,96.19,
1429308546.32,1.00,96.36,13.60,96.36,
1429308546.36,1.00,96.48,13.63,96.48,
1429308546.39,1.00,96.49,13.66,96.49,
1429308546.42,1.00,96.67,13.69,96.67,
1429308546.45,1.00,96.83,13.72,96.83,
1429308546.49,1.00,96.93,13.76,96.93,
1429308546.52,0.88,96.79,13.80,96.79,
1429308546.56,1.00,97.56,13.83,97.56,
1429308546.59,0.93,97.68,13.86,97.68,
1429308546.63,1.00,97.73,13.90,97.73,
1429308546.65,1.00,97.84,13.92,97.84,
1429308546.68,1.00,97.79,13.96,97.79,
1429308546.71,1.00,98.06,13.99,98.06,
1429308546.75,1.00,98.38,14.02,98.38,
1429308546.79,1.00,98.64,14.06,98.64,
1429308546.82,1.00,99.06,14.09,99.06,
1429308546.85,1.00,99.09,14.13,99.09,
1429308546.88,1.00,99.31,14.16,99.31,
1429308546.92,1.00,99.47,14.19,99.47,
1429308546.95,1.00,99.64,14.23,99.64,
1429308546.98,1.00,99.92,14.26,99.92,
1429308547.01,1.00,100.16,14.28,100.16,
1429308547.05,1.00,100.30,14.32,100.30,
1429308547.08,1.00,100.59,14.35,100.59,
1429308547.11,1.00,100.77,14.39,100.77,
1429308547.14,1.00,100.87,14.42,100.87,
1429308547.18,1.00,101.01,14.45,101.01,
1429308547.21,1.00,101.21,14.49,101.21,
1429308547.25,1.00,101.30,14.52,101.30,
1429308547.28,1.00,101.47,14.55,101.47,
1429308547.32,1.00,101.51,14.59,101.51,
1429308547.35,1.00,101.62,14.62,101.62,
1429308547.38,1.00,101.62,14.65,101.62,
1429308547.41,1.00,101.72,14.68,101.72,
1429308547.47,1.00,101.70,14.75,101.70,
1429308547.51,1.00,101.78,14.78,101.78,
1429308547.54,1.00,101.81,14.82,101.81,
1429308547.58,1.00,101.92,14.85,101.92,
1429308547.61,1.00,102.05,14.89,102.05,
1429308547.65,1.00,102.24,14.92,102.24,
1429308547.67,1.00,102.20,14.94,102.20,
1429308547.70,1.00,102.19,14.98,102.19,
1429308547.74,1.00,102.34,15.01,102.34,
1429308547.77,1.00,102.37,15.04,102.37,
1429308547.81,1.00,102.27,15.08,102.27,
